Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
1,06/11/2001,7,15,24,41,48,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,37,41,43,44,49,0,"R$0,00",55,"R$2.317,59",1307,"R$97,16",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00",Estimativa prêmio SENA (1º SORTEIO) próximo concurso: R$ 800 MIL.
2,09/11/2001,4,9,11,32,38,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,13,19,24,29,46,0,"R$0,00",35,"R$2.655,40",2014,"R$45,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00",Estimativa de prêmio para o próximo concurso: 1º sorteio(SENA):R$ 1 MILHÃO.
3,13/11/2001,11,34,42,44,45,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",12,24,30,40,47,48,0,"R$0,00",21,"R$4.719,93",1264,"R$78,13",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio próximo conc 1º SORTEIO (SENA): R$1.300.000,00."
4,16/11/2001,29,38,43,44,46,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,7,11,44,46,49,0,"R$0,00",8,"R$10.668,17",1042,"R$81,59",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (1º sorteio - sena) próximo concurso: R$1.600.000,00."
5,20/11/2001,7,12,16,25,32,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,10,12,19,26,49,0,"R$0,00",34,"R$2.943,35",1804,"R$55,26",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1º SORTEIO) para o próximo concurso: R$ 1.900.000,00."
6,23/11/2001,9,13,14,16,31,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,31,35,36,42,47,0,"R$0,00",16,"R$7.283,67",1160,"R$100,09",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºsorteio) próximo concurso: R$ 2.200.000,00."
7,27/11/2001,6,9,17,23,24,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,8,28,30,32,45,0,"R$0,00",35,"R$3.475,19",2040,"R$59,40",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.600.000,00."
8,30/11/2001,11,24,29,32,38,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,14,17,30,31,39,0,"R$0,00",22,"R$5.070,93",1279,"R$86,89",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.000.000,00."
9,04/12/2001,10,18,22,37,42,44,1,RS,"R$2.979.726,32",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,26,31,37,42,46,0,"R$0,00",17,"R$8.219,01",1300,"R$107,08",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$350.000,00. Valor acumulado para a SENA-1ºsorteio é de R$209.584,55."
10,07/12/2001,17,19,31,34,39,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,5,11,20,24,40,0,"R$0,00",31,"R$3.082,65",1342,"R$70,94",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO (SENA) PRÓXIMO CONCURSO: R$ 700.000,00."
11,11/12/2001,2,4,8,27,36,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,8,17,40,43,45,0,"R$0,00",12,"R$7.862,55",1159,"R$81,11",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºsorteio) próximo concurso: R$1.000.000,00."
12,14/12/2001,12,21,28,29,45,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,18,19,20,25,31,0,"R$0,00",22,"R$4.381,45",1316,"R$72,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.300.000,00."
